0,1646
6,728
7,1543
10,116
11,1813
12,1813
13,1543
14,218
15,1340
16,1745
17,779
18,218
19,829
20,1646
22,1442
23,218
24,932
25,1813
26,1813
27,159
30,932
31,1813
32,218
33,422
38,1813
39,1813
40,1813
41,1813
43,1813
44,1813
46,932
47,1442
48,1745
49,1711
52,1395
54,1813
55,1543
56,320
58,285
59,1813
60,1813
62,62
63,253
64,218
65,1442
66,1745
68,1813
69,1273
70,1076
72,167
76,1813
77,986
79,1813
80,1813
81,932
82,1813
83,1813
85,1338
87,1813
88,369
90,1035
91,377
93,25
95,1813
97,1543
98,1813
99,422
100,996
101,470
102,176
103,52
104,252
105,99
106,1543
108,320
111,49
112,1386
113,1813
115,1527
118,1813
119,872
121,1813
122,320
124,1813
126,1524
127,218
128,1813
129,683
130,1813
131,141
132,1813
133,1442
134,218
137,320
140,1813
141,1539
142,1813
149,1442
150,728
151,1136
152,1813
154,1813
156,1813
158,167
159,829
160,1813
161,357
163,523
166,404
169,99
170,728
171,1758
172,1813
173,14
174,422
175,1813
176,1813
177,1340
178,1341
179,1527
181,320
183,320
184,1813
185,1340
186,1813
187,1813
188,1175
191,1813
195,1813
198,1349
199,1813
203,1813
205,984
206,1813
208,1136
212,1136
214,136
215,1813
216,1813
217,1813
218,1646
219,1813
220,218
221,1745
222,218
223,1813
224,1813
225,1813
226,19
227,523
229,1813
231,883
232,1813
233,1745
235,1813
239,1572
240,1813
241,1675
242,1813
244,1813
245,1543
248,1813
249,1813
252,1813
253,1192
255,1813
256,422
257,1813
258,218
259,1813
261,1813
262,1813
264,1340
265,1813
266,1813
268,1813
269,1813
270,766
271,910
273,1813
274,1745
275,422
277,16
278,1340
279,932
280,84
281,157
284,1273
285,678
286,183
287,1813
288,1675
289,944
290,1813
294,320
295,218
296,1813
297,969
298,218
300,1813
302,905
303,67
304,1543
305,523
306,178
307,1543
308,31
310,932
312,932
316,39
317,1813
318,1813
319,1813
321,728
324,218
325,218
329,1543
330,1745
333,422
334,1745
338,1813
339,1745
340,1136
341,1813
343,1035
344,706
346,1543
347,1813
348,1813
349,1813
351,1813
352,1813
353,728
355,574
356,443
357,167
358,1813
361,794
362,933
363,1238
364,218
365,1813
366,1104
369,158
372,1813
374,320
377,1596
378,1034
379,167
380,805
381,932
382,167
383,1813
384,1646
386,1291
388,1813
389,1491
391,1479
392,1299
393,1442
395,1813
396,1813
397,728
398,455
399,320
400,1326
402,858
403,320
404,218
406,367
407,678
408,1230
410,1136
411,1745
412,125
413,1813
414,932
416,694
417,1084
418,676
419,785
423,639
424,1442
425,1813
429,1745
430,1813
431,745
432,1340
433,1813
435,2
437,422
438,1813
439,167
440,320
441,1813
445,1813
446,1034
448,1745
449,455
450,625
451,1813
452,1813
453,1813
454,34
456,923
458,728
459,1745
461,218
462,167
467,1813
468,1813
469,994
470,320
472,728
473,1213
474,1681
479,1302
480,1813
481,1813
482,1136
483,750
484,1813
490,1813
491,829
492,1813
494,1663
500,1813
501,960
502,238
505,1813
506,1813
507,1813
508,523
509,1813
510,1813
512,1813
513,1813
515,625
517,1745
520,1813
521,1340
523,1813
527,1813
528,880
529,1813
530,1813
531,1813
532,1813
533,320
535,1813
536,1813
538,67
539,422
540,844
542,1813
543,1813
545,1813
546,14
548,1813
550,796
551,971
553,422
554,1091
555,1316
556,1581
557,1813
558,1813
559,1813
561,320
565,1813
567,1354
568,1222
569,460
570,218
571,1813
572,422
573,218
575,150
576,167
577,1309
578,1813
579,755
580,1813
582,422
583,1813
584,1813
585,218
586,1813
587,1813
588,1813
589,1745
591,1813
592,320
593,1813
594,1037
595,932
597,1745
599,1543
600,763
601,730
602,1813
604,1543
605,1813
606,422
608,1813
609,459
610,115
611,1813
613,1543
614,1175
615,1813
617,1370
618,1813
619,1319
620,1813
621,1458
622,214
624,1813
625,1347
629,422
631,1813
633,431
636,1813
637,1813
638,1563
639,1368
640,1543
641,285
642,1425
644,625
646,1813
648,422
649,782
650,1596
651,1813
652,320
653,167
654,1813
656,1813
657,1813
659,1340
662,966
663,115
667,1813
669,1813
670,456
672,1340
676,329
677,1813
679,1813
682,760
683,115
684,1813
686,1813
687,625
689,1813
690,1813
691,1813
692,870
693,1646
694,1035
695,1280
696,1813
697,1813
698,287
699,1813
700,639
701,676
703,1813
704,1813
705,118
706,1612
707,1813
708,1543
709,1813
711,1813
713,1813
715,1646
719,1813
720,366
722,1813
723,1106
724,320
726,728
727,1813
728,1813
729,1509
731,625
736,1341
737,115
740,1596
741,728
743,728
745,401
748,1813
751,1813
752,14
753,1813
757,1813
758,218
760,167
761,1813
762,1477
763,1646
765,1813
766,1813
767,14
769,523
770,898
773,1543
776,303
777,829
780,121
